PAIS;SIGLA;GOLS;PIB
Alemanha;ALE;18;3336651
Argelia;AGE;7;206545
Argentina;ARG;8;474812
Australia;AUS;3;1542055
Belgica;BEL;6;476796
Bosnia;BOS;4;16551
Brasil;BRA;11;2673580
Camaroes;CAM;1;2451
Chile;CHI;6;268278
Colombia;COL;12;365402
Coreia_do_Sul;CSUL;3;1151271
Costa_do_Marfim;MAR;4;24273
Costa_Rica;COS;5;44884
Croacia;CRO;6;57493
Equador;EQU;3;80927
Espanha;ESP;4;1340266
Estados_Unidos;USA;5;15653366
Franca;FRA;10;2875000
Gana;GAN;4;40124
Grecia;GRE;3;254978
Holanda;HOL;15;520256
Honduras;HON;1;1818
Inglaterra;ING;2;2585779
Ira;IRA;1;48378
Portugal;POR;4;21062
Russia;RUS;2;1953555
Suica;SUI;7;622855
Uruguai;URU;4;49716
Italia;ITA;2;1980448
Japao;JAP;2;5984390
Mexico;MEX;5;1162891
Nigeria;NIG;3;27255
